,Intercept,Shoot growth,Predictor,Shoot growth : Predictor,R2m,R2c,AICc
P,-0.75,0.72,-0.05,-0.05,0.86,0.87,13.5
N,-0.74,0.75,0.21,0.13,0.86,0.88,9.0
13C,-0.73,0.68,-0.03,0.08,0.87,0.89,6.7
Epiphytes,-0.83,0.73,-0.25,-0.10,0.89,0.89,6.2
Herbivory,-0.80,0.59,-0.09,-0.22,0.87,0.88,6.2
null,-0.74,0.75,NA,NA,0.86,0.88,0.9
