"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",5.33136094674556,6.28571428571429,5.35427135678392,5.2964824120603,NA,5.34591194968553,NA,5.35427135678392,NA,NA,5.34591194968553,NA,5.2964824120603,NA
"2",5.55621301775148,3.18487394957983,1.65577889447236,5.35427135678392,NA,NA,NA,5.64321608040201,5.35427135678392,NA,5.34591194968553,NA,5.2964824120603,NA
"3",5.33136094674556,5.71428571428571,5.35427135678392,5.35427135678392,NA,5.34591194968553,NA,1.65577889447236,1.65577889447236,5.34591194968553,5.27358490566038,NA,5.35427135678392,NA
"4",5.33136094674556,2.10924369747899,5.35427135678392,5.2964824120603,NA,5.41823899371069,NA,5.35427135678392,5.35427135678392,NA,5.34591194968553,NA,5.35427135678392,NA
"5",5.62130177514793,2.10924369747899,1.65577889447236,2.79396984924623,2.88679245283019,5.34591194968553,5.64321608040201,5.35427135678392,NA,5.34591194968553,5.34591194968553,NA,1.05276381909548,NA
"6",5.62130177514793,2.10924369747899,5.2964824120603,5.35427135678392,NA,NA,1.65577889447236,5.35427135678392,5.2964824120603,NA,5.56603773584906,NA,5.18090452261307,NA
"7",5.33136094674556,5.71428571428571,5.46984924623116,5.35427135678392,NA,5.34591194968553,5.35427135678392,1.65577889447236,NA,1.65723270440252,5.34591194968553,NA,1.65577889447236,NA
"8",5.62130177514793,5.71428571428571,5.35427135678392,5.35427135678392,NA,1.65723270440252,NA,1.65577889447236,NA,5.34591194968553,5.20125786163522,NA,4.42964824120603,NA
"9",5.46745562130178,2.10924369747899,1.65577889447236,5.64321608040201,NA,NA,NA,1.65577889447236,1.65577889447236,NA,5.34591194968553,NA,5.35427135678392,NA
"10",5.33136094674556,5.52941176470588,1.65577889447236,5.35427135678392,NA,5.27358490566038,5.35427135678392,5.35427135678392,NA,2.10691823899371,5.34591194968553,NA,2.11809045226131,NA
"11",5.33136094674556,5.6218487394958,3.33668341708543,5.2964824120603,5.34591194968553,5.27358490566038,NA,5.35427135678392,NA,5.27358490566038,3.0251572327044,NA,3.01507537688442,NA
"12",5.46745562130178,5.71428571428571,5.35427135678392,5.35427135678392,NA,NA,1.65577889447236,NA,NA,5.63522012578616,5.34591194968553,NA,NA,NA
"13",5.62130177514793,5.6218487394958,5.35427135678392,5.64321608040201,NA,NA,NA,1.65577889447236,5.46984924623116,NA,5.63522012578616,NA,NA,NA
"14",3.00591715976331,2.10924369747899,5.35427135678392,5.35427135678392,NA,5.27358490566038,NA,NA,NA,5.27358490566038,5.34591194968553,NA,NA,NA
