"","Intercept","Shoot density","Nutrient","Shoot density : Nutrient","R2m","R2c","AICc"
"P",-1.308,0.038,0.648,-0.154,0.404,0.597,97.52
"N",-1.889,0.173,-0.134,0.192,0.054,0.594,116.92
"13C",-1.538,0.04,-0.431,0.074,0.157,0.546,110.41
