"","Intercept","log(Distance)","log(Distance):Fish","log(Distance):Sediment","log(Distance):Fish:Sediment","R2m","R2c","AICc"
"P",-0.972,-0.157,-0.117,0.096,-0.004,0.125,0.653,295.08
"N",-0.972,-0.128,-0.045,0.087,0.062,0.103,0.676,298.19
"N:P",-0.97,-0.138,0.061,0.06,-0.041,0.058,0.703,307.52
