"","Intercept","Shoot growth","Predictor","Shoot growth : Predictor"
"P",0,0,0.394,0.353
"N",0,0,0.028,0.056
"13C",0,0,0.711,0.218
"Epiphytes",0,0,0.011,0.136
"Herbivory",0,0,0.551,0.074
"null",0,0,NA,NA
