"","Fish.N","Fish.P","Fish.NP","Seagrass.N20","Seagrass.P20","Seagrass.NP20","Sediment.N","Sediment.P","Sediment.NP"
"Shoot growth threshold",0.949,0.906,0.764,0.464,0.49,0.39,0.707,0.488,0.341
"Seagrass %P threshold",0.339,0.77,0.551,0.647,0.644,0.747,0.032,0.316,0.188
"Shoot growth slope",0.807,0.787,0.901,0.894,0.398,0.521,0.055,0.181,0.904
"Seagrass %P slope",0.773,0.965,0.978,0.476,0.167,0.096,0.011,0.049,0.532
