"","Intercept","log(Distance)","log(Distance):Fish","log(Distance):Ambient","log(Distance):Fish:Ambient","log(Distance):Fish:Bites","log(Distance):Ambient:Bites","R2m","R2c","AICc"
"P",1.169,-0.223,-0.064,0.061,0.033,0.013,-0.056,0.113,0.864,267.86
"N",1.17,-0.249,-0.096,-0.008,-0.02,0.022,0.011,0.087,0.877,280.99
"N:P",1.169,-0.257,0.057,-0.05,0.007,-0.106,0.046,0.116,0.865,266.54
