"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",-0.158237450328083,-0.00234032763856339,-0.640376632711328,-0.012950445664248,NA,6.86864934940398,NA,-6.98765818607323,NA,NA,0.250497370414687,NA,-0.000168007134994817,NA
"2",-0.0923284162501192,0.0782283846043582,-0.472797652006482,-0.00668354991675141,NA,NA,NA,-4.824745123222,-0.00157757778869542,NA,0.254168036566425,NA,-0.00034885568639367,NA
"3",-0.213285115358396,0.0163233799401543,-0.629794794666197,-0.0106366356717865,NA,9.36000604555906,NA,-4.41303284122113,-0.00106533175517564,0.103868168100052,0.243122525133405,NA,-0.000274313535999089,NA
"4",-0.217600603362944,0.0183017483227256,-0.565091988453362,-0.00968471627226449,NA,7.5970585066148,NA,-2.65470431242426,-0.000654714635720778,NA,0.366967368269912,NA,-0.000102675363105567,NA
"5",-0.104865627972665,0.0162519337806899,-0.533772368004029,-0.0271166595955756,0.408130620866475,8.87935495432449,-5.90535485913288,-4.14548919169231,NA,0.200626868633258,0.253960393755474,NA,-0.000259076091475692,NA
"6",-0.0724580396242837,0.0173011043265788,-0.689863752242002,-0.0107347431223804,NA,NA,-2.95974072561283,-9.24383119116356,-0.00205919255602792,NA,0.0997289457618047,NA,-9.4414081900464e-05,NA
"7",-0.224803051863653,0.0272235303699735,-0.16197922325966,-0.00837711864724006,NA,9.19099535749077,-7.4433765779014,-4.84032874617785,NA,0.296023216450452,0.314514501927087,NA,-0.000114415839469006,NA
"8",-0.108722149050082,0.0240964655270637,-0.874884700791281,-0.0115582904968119,NA,2.14894937984985,NA,-2.28906924033843,NA,0.19545113303864,0.248972021896965,NA,-0.000134247767163418,NA
"9",-0.194831072981196,0.0231788696763743,-0.525592956802741,-0.00686654367022275,NA,NA,NA,-1.94660012185633,-0.00107110048597652,NA,0.326682739634934,NA,-0.000167133681664751,NA
"10",-0.18834367354073,0.0211516312981289,-0.583259374855656,-0.0117945783021547,NA,4.0936073797743,-3.97061183912308,-5.98734011213561,NA,0.265897419908287,0.208504988365658,NA,-0.000121103287929284,NA
"11",-0.201018515884154,0.0179219912250106,-1.03967925403925,-0.0117516151153453,0.213259335102017,5.04684294433113,NA,-7.70532952756861,NA,-0.423549381485075,0.60204320704678,NA,-0.000375745914819156,NA
"12",-0.139905999921192,0.0285897280618961,-0.537543121820944,-0.013023135782069,NA,NA,-4.2801478282901,NA,NA,-0.0400804746006655,0.299056731118859,NA,NA,NA
"13",-0.14575402005249,0.0272420119255344,-0.572376101567089,-0.00617312076576239,NA,NA,NA,-2.60731933858112,-0.000400287087401784,NA,0.105398207497188,NA,NA,NA
"14",-0.303391294438613,0.0154247663923722,-0.708189383304589,-0.0068656818482864,NA,7.16824772336507,NA,NA,NA,-0.548193340038878,0.249385659622152,NA,NA,NA
"15",-0.179022962678211,0.0490000698620441,-0.486545617481921,-0.0116568406872035,0.205855265605912,5.50802321006905,-3.14001858969795,-4.02005383378382,NA,0.0447351316149185,0.178554596258272,NA,NA,NA
"16",-0.119626898396131,0.0184909185299032,-0.579207366184667,-0.0110803441287463,NA,NA,-6.47762003943145,NA,-0.00105818282341681,-0.243874345249327,0.145326762015605,NA,-0.000372597940122247,NA
