"","Intercept","log(Distance)","log(Distance):Fish","log(Distance):Sediment","log(Distance):Fish:Sediment","R2m","R2c","AICc"
"P",1.171,-0.252,-0.108,0.073,0.009,0.105,0.868,255.79
"N",1.171,-0.232,-0.045,0.088,0.038,0.102,0.872,254.18
"N:P",1.171,-0.238,0.043,0.072,-0.021,0.079,0.877,271.27
