"","Intercept","Shoot growth","Predictor","Shoot growth : Predictor"
"P",0.141,0,0.667,0.622
"N",0.146,0,0.501,0.463
"13C",0.157,0,0.185,0.169
"Epiphytes",0.149,0,0.154,0.77
"Herbivory",0.147,0,0.708,0.634
"null",0.143,0,NA,NA
