,Intercept,log(Distance),log(Distance):Fish,log(Distance):Ambient,log(Distance):Fish:Ambient,log(Distance):Fish:Bites,log(Distance):Ambient:Bites
P,0.264,0,0.005,0.023,0.237,0.667,0.117
N,0.285,0,0,0.661,0.515,0.272,0.571
N:P,0.26,0,0.01,0.015,0.723,0.001,0.06
