Island,Sediment.C,Sediment.13Corg,Sediment.15N,NO3,PO4,Turbidity
Bahamas,0.52 ± 0.14,-14.39 ± 1.19,-2.87 ± 0.64,5.48 ± 6.65,7.9 ± 0.96,6.69 ± 3.17
Haiti,0.69 ± 0.37,-15.88 ± 3.18,-2.07 ± 0.31,15.09 ± 9.5,6.4 ± 1.14,4.4 ± 2.8
