,Intercept,log(Distance),log(Distance):Fish,log(Distance):Ambient,log(Distance):Fish:Ambient
P,0.147,0.000,0.003,0.001,0.222
N,0.198,0.000,0.000,0.800,0.996
N:P,0.150,0.000,0.048,0.012,0.371
