,Intercept,Shoot growth,Predictor,Shoot growth : Predictor,R2m,R2c,AICc
P,-1.16,0.74,-0.01,-0.02,0.52,0.89,78.9
N,-1.17,0.73,0.01,-0.02,0.52,0.89,79.5
13C,-1.18,0.73,-0.05,-0.05,0.52,0.91,73.5
Epiphytes,-1.17,0.73,-0.03,-0.01,0.52,0.89,78.2
Herbivory,-1.16,0.73,0.01,-0.02,0.52,0.89,79.3
null,-1.16,0.73,NA,NA,0.52,0.89,65.3
