,Intercept,log(Distance),log(Distance):Fish,log(Distance):Ambient,log(Distance):Fish:Ambient,log(Distance):Fish:Bites,log(Distance):Ambient:Bites
P,0.13,0.004,0.07,0.101,0.17,0.792,0.206
N,0.166,0,0.003,0.764,0.506,0.291,0.455
N:P,0.122,0,0.229,0.063,0.998,0.009,0.468
