,Intercept,Shoot density,Nutrient,Shoot density : Nutrient,R2m,R2c,AICc
P,-0.95,0.44,0.15,0.07,0.22,0.82,166.1
N,-0.98,0.41,0.05,-0.05,0.20,0.84,175.1
13C,-0.93,0.43,-0.06,-0.10,0.24,0.82,172.8
