,Intercept,log(Distance),log(Distance):Fish,log(Distance):Ambient,log(Distance):Fish:Ambient,R2m,R2c,AICc
P,-0.96,-0.15,-0.10,0.11,0.03,0.15,0.67,269.4
N,-0.95,-0.16,-0.11,0.01,0.00,0.09,0.69,279.2
N:P,-0.96,-0.16,0.07,-0.07,-0.02,0.10,0.68,278.7
